Id,SalePrice
1461,117608.9743
1462,147701.9485
1463,168986.3174
1464,194356.6035
1465,198837.6966
1466,171123.6932
1467,186579.7153
1468,169430.7609
1469,184375.1907
1470,127147.1907
1471,173859.1447
1472,100367.3421
1473,94686.07034
1474,144163.9849
1475,118521.5531
1476,339676.4026
1477,249334.6464
1478,305750.2905
1479,296299.2543
1480,446891.3965
1481,345055.3474
1482,220156.7431
1483,171522.1172
1484,170822.0967
1485,197339.496
1486,194116.078
1487,341220.1612
1488,238314.4555
1489,197386.3257
1490,242944.9683
1491,195618.5716
1492,94741.49483
1493,204569.1547
1494,310560.1811
1495,289642.0858
1496,241315.5052
1497,181390.4714
1498,179458.0923
1499,167455.8035
1500,164434.1337
1501,173200.4594
1502,149597.5767
1503,266838.2466
1504,251338.6751
1505,239047.7463
1506,181417.9582
1507,236422.6813
1508,196792.1533
1509,148981.9403
1510,149152.5241
1511,153577.9842
1512,166332.1675
1513,149001.8191
1514,145194.0341
1515,187100.7235
1516,161661.4534
1517,162373.8444
1518,138135.0265
1519,193591.1193
1520,131494.9977
1521,124242.7316
1522,166866.3006
1523,113586.0714
1524,117093.1262
1525,117550.8089
1526,113760.1942
1527,114663.4476
1528,137907.6515
1529,155771.0243
1530,193201.4329
1531,120818.5563
1532,100012.9632
1533,152887.2873
1534,114272.0285
1535,141743.0589
1536,109521.2555
1537,59837.51586
1538,144588.393
1539,197017.1777
1540,91735.13429
1541,127527.964
1542,137754.9038
1543,178009.7773
1544,94908.47254
1545,120772.3522
1546,143477.5869
1547,134271.1938
1548,131828.1677
1549,128301.8715
1550,137984.1815
1551,99702.36999
1552,145569.7503
1553,140257.545
1554,127292.1582
1555,166161.2068
1556,99991.99705
1557,92474.2362
1558,97438.91037
1559,55432.57647
1560,159095.746
1561,124659.2884
1562,136870.0157
1563,118893.6605
1564,152516.1505
1565,139899.5789
1566,227852.1292
1567,80398.59212
1568,253069.452
1569,122226.0718
1570,134655.3331
1571,105062.9638
1572,135896.1883
1573,185010.9791
1574,128243.0746
1575,228508.7468
1576,245622.3588
1577,179844.9798
1578,154898.7062
1579,147320.697
1580,184270.1907
1581,161963.2331
1582,134837.2484
1583,286530.2129
1584,221055.8291
1585,143983.3848
1586,69665.91883
1587,105600.7492
1588,149703.8909
1589,90433.97965
1590,128451.2036
1591,92601.84481
1592,113188.075
1593,119383.4747
1594,130120.4667
1595,116329.7427
1596,212914.8378
1597,192652.8913
1598,217563.3328
1599,166212.8086
1600,158091.0306
1601,72338.64989
1602,111263.8323
1603,68576.92504
1604,263248.6399
1605,223750.5918
1606,171652.7428
1607,163114.5768
1608,223566.3077
1609,177781.4295
1610,155597.0819
1611,141596.1193
1612,167112.6112
1613,165643.2065
1614,115701.8045
1615,82784.30857
1616,74578.88597
1617,87301.84261
1618,127812.5918
1619,150787.1886
1620,168672.0145
1621,126812.2001
1622,145408.768
1623,257858.6686
1624,208287.8622
1625,110022.0233
1626,174063.0939
1627,181701.2891
1628,266951.651
1629,183727.9971
1630,348864.9272
1631,242891.5421
1632,235267.9613
1633,179444.4951
1634,185195.0641
1635,177403.086
1636,165220.8902
1637,209329.7755
1638,185135.0417
1639,179762.3054
1640,235367.4828
1641,173340.6858
1642,256492.9971
1643,231267.3585
1644,240128.53
1645,210395.2991
1646,163260.1724
1647,150147.555
1648,130004.812
1649,142161.8236
1650,118674.0446
1651,117898.6958
1652,100129.0521
1653,104668.2458
1654,143543.6135
1655,144693.4362
1656,141213.7627
1657,150694.1519
1658,151173.3611
1659,127136.5761
1660,162784.1382
1661,422543.7215
1662,388096.7974
1663,375128.9812
1664,511887.534
1665,310741.7487
1666,327432.9411
1667,392646.1957
1668,349450.6195
1669,331846.9486
1670,336213.4145
1671,280263.8159
1672,406918.4166
1673,312854.006
1674,266692.7625
1675,212868.2439
1676,214083.5849
1677,218706.0546
1678,445783.8602
1679,381019.2103
1680,301088.8411
1681,245647.4503
1682,326940.6491
1683,207169.0793
1684,190635.7028
1685,183298.2785
1686,177937.2826
1687,181711.9466
1688,188672.1707
1689,196895.8086
1690,198485.3139
1691,189714.9834
1692,250208.1262
1693,179912.0427
1694,185156.5848
1695,173845.3649
1696,267483.5871
1697,179382.0058
1698,334699.5296
1699,342785.369
1700,272283.3894
1701,271706.9072
1702,238264.769
1703,253594.702
1704,278485.6685
1705,245339.7277
1706,400832.4983
1707,209406.5072
1708,210736.6198
1709,264472.3171
1710,224589.3199
1711,291341.6705
1712,261071.3831
1713,270711.4538
1714,212348.9878
1715,213213.7763
1716,177422.5458
1717,178000.5332
1718,135602.8536
1719,197911.8294
1720,230048.9638
1721,164985.1629
1722,130201.9092
1723,162410.0297
1724,199140.1061
1725,238793.0878
1726,193044.2055
1727,152437.7746
1728,192438.6407
1729,172031.5368
1730,136291.9825
1731,127603.4463
1732,137093.0593
1733,104237.0244
1734,117131.8182
1735,136516.634
1736,122543.6216
1737,304276.5418
1738,271789.9886
1739,249026.3694
1740,217511.4438
1741,193359.6715
1742,175846.0913
1743,179057.0435
1744,329253.8748
1745,199764.1569
1746,214915.1066
1747,207357.7947
1748,238910.5207
1749,156592.5143
1750,125740.4568
1751,232383.0937
1752,121828.5504
1753,146051.3107
1754,189969.215
1755,161260.7451
1756,133993.1177
1757,123494.5663
1758,151480.1327
1759,167177.2489
1760,163334.3357
1761,141694.8815
1762,183887.8913
1763,176723.8191
1764,117929.4915
1765,160614.6806
1766,193078.2528
1767,211774.7564
1768,137941.9571
1769,167450.1774
1770,158654.2821
1771,124213.5011
1772,127514.4551
1773,131874.0371
1774,145995.0983
1775,148834.7309
1776,132990.0156
1777,101731.1398
1778,142726.4616
1779,113498.6875
1780,172593.8603
1781,120678.3742
1782,95900.10508
1783,144564.6253
1784,114288.2665
1785,108283.4722
1786,130507.7044
1787,188092.354
1788,71613.22576
1789,97669.20442
1790,84984.01201
1791,201681.146
1792,137238.0419
1793,130327.5933
1794,163258.6213
1795,130257.0504
1796,140919.5863
1797,118699.9172
1798,123594.5402
1799,125368.7816
1800,135377.8014
1801,137318.2665
1802,133601.1903
1803,142988.3511
1804,146972.2915
1805,135121.9347
1806,124876.7437
1807,133333.0879
1808,127435.1992
1809,125139.3584
1810,127226.5184
1811,88481.6817
1812,94545.04341
1813,112116.8728
1814,94330.60074
1815,55062.97946
1816,90991.06936
1817,112075.4147
1818,147395.7458
1819,137418.5501
1820,50433.74219
1821,107182.2619
1822,159164.6279
1823,42928.67412
1824,117955.1373
1825,157183.7426
1826,110704.0018
1827,98020.91217
1828,131640.6357
1829,130795.6847
1830,139737.2479
1831,138594.2791
1832,75831.57736
1833,144143.9023
1834,124804.4213
1835,120940.6969
1836,124232.0334
1837,103076.2327
1838,139161.9054
1839,108596.6451
1840,137738.9922
1841,137497.1888
1842,93801.66096
1843,123616.8265
1844,149144.8133
1845,142563.3544
1846,152194.2767
1847,179567.0682
1848,56170.43337
1849,100736.2964
1850,116823.6022
1851,147595.7744
1852,126381.6009
1853,123933.9265
1854,163382.7926
1855,154150.1623
1856,225703.4918
1857,140034.2823
1858,128671.9944
1859,117641.5734
1860,153802.31
1861,116622.3366
1862,364966.1782
1863,363143.0393
1864,363160.2224
1865,298060.2875
1866,301684.1774
1867,232117.5494
1868,270535.766
1869,210453.6887
1870,222620.1663
1871,245593.6831
1872,183512.4461
1873,236983.7057
1874,152497.0677
1875,198360.7836
1876,202370.6713
1877,201169.9218
1878,197769.4696
1879,133006.1207
1880,140558.2357
1881,241049.7523
1882,241717.3254
1883,187558.9919
1884,200314.9903
1885,235714.6074
1886,269356.8283
1887,213489.6382
1888,262681.4552
1889,178707.6136
1890,105687.447
1891,123396.3892
1892,95030.11279
1893,128826.2529
1894,120622.4774
1895,127238.7121
1896,119398.0888
1897,115537.9106
1898,125231.3532
1899,167131.0897
1900,166660.1416
1901,172096.1795
1902,146849.7901
1903,218440.0994
1904,157921.7588
1905,216328.7101
1906,142179.3529
1907,233668.9869
1908,114594.6538
1909,147454.5444
1910,127002.9133
1911,237110.078
1912,352013.6583
1913,152892.6991
1914,55118.97292
1915,279562.078
1916,66260.18171
1917,230728.1268
1918,140466.2659
1919,172841.0956
1920,150699.3378
1921,333255.6215
1922,283947.6215
1923,254195.22
1924,243005.3662
1925,196718.7547
1926,338566.4599
1927,127582.4517
1928,148886.8714
1929,129923.6655
1930,136161.4951
1931,133979.0616
1932,127348.0891
1933,184038.3024
1934,170309.4759
1935,169110.8812
1936,183916.4193
1937,174368.8673
1938,165697.0917
1939,258500.9461
1940,201629.1
1941,166173.2697
1942,186307.8208
1943,227693.3136
1944,377573.0148
1945,402402.0903
1946,137820.974
1947,307531.3372
1948,165455.0768
1949,244732.5065
1950,180498.1813
1951,234983.2712
1952,207875.4018
1953,171078.9306
1954,179967.5469
1955,125651.7659
1956,319485.3018
1957,146240.3765
1958,283179.3597
1959,145800.0159
1960,114894.5387
1961,131359.1593
1962,98982.24809
1963,104795.3976
1964,104733.8054
1965,145340.0226
1966,140651.8158
1967,297534.4338
1968,444417.4094
1969,376663.5542
1970,399895.8857
1971,490071.3899
1972,363444.9893
1973,305125.3064
1974,345752.3913
1975,400583.5944
1976,283661.4538
1977,345187.7615
1978,349860.5796
1979,303860.2601
1980,197379.2207
1981,302972.3726
1982,232663.509
1983,214076.3817
1984,170172.4378
1985,223688.2016
1986,205332.0836
1987,199924.2658
1988,179481.0556
1989,190275.9139
1990,208360.5488
